Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,24.430000,25.820000,24.400000,25.650000,25.650000,697000
2017-10-24,25.730000,25.950001,25.500000,25.690001,25.690001,365500
2017-10-25,25.680000,25.950001,25.370001,25.620001,25.620001,446200
2017-10-26,25.559999,25.920000,25.549999,25.600000,25.600000,246500
2017-10-27,25.590000,25.639999,24.860001,25.200001,25.200001,437300
2017-10-30,25.080000,25.559999,25.080000,25.379999,25.379999,230000
2017-10-31,25.400000,25.760000,25.370001,25.660000,25.660000,361100
2017-11-01,25.750000,25.780001,25.250000,25.639999,25.639999,330000
2017-11-02,25.690001,26.420000,25.410000,25.870001,25.870001,631900
2017-11-03,25.840000,26.030001,25.570000,25.780001,25.780001,202100
2017-11-06,25.760000,26.010000,25.490000,25.570000,25.570000,194600
2017-11-07,25.620001,26.049999,25.360001,26.000000,26.000000,452200
2017-11-08,25.910000,26.139999,25.770000,26.100000,26.100000,645500
2017-11-09,26.090000,26.139999,25.790001,25.990000,25.990000,467900
2017-11-10,25.930000,26.170000,25.930000,26.110001,26.110001,79200
2017-11-13,26.000000,26.150000,25.930000,25.959999,25.959999,143700
2017-11-14,25.920000,26.110001,25.570000,26.000000,26.000000,177900
2017-11-15,25.959999,26.030001,25.469999,25.959999,25.959999,274300
2017-11-16,26.049999,26.330000,25.969999,26.250000,26.250000,302400
2017-11-17,26.250000,26.760000,26.250000,26.540001,26.540001,216300
2017-11-20,26.600000,26.840000,26.600000,26.620001,26.620001,227300
2017-11-21,26.670000,26.889999,26.580000,26.870001,26.870001,201800
2017-11-22,26.940001,27.150000,26.629999,26.709999,26.709999,324500
2017-11-23,26.770000,26.830000,26.639999,26.830000,26.830000,74600
2017-11-24,26.860001,27.030001,26.860001,26.920000,26.920000,78100
2017-11-27,26.959999,27.000000,26.520000,26.559999,26.559999,152200
2017-11-28,26.500000,26.760000,26.400000,26.639999,26.639999,157000
2017-11-29,26.639999,26.639999,25.879999,26.080000,26.080000,255600
2017-11-30,26.139999,26.570000,26.139999,26.570000,26.570000,338000
2017-12-01,26.570000,26.570000,25.549999,26.110001,26.110001,289300
2017-12-04,26.170000,26.200001,25.629999,25.820000,25.820000,268300
2017-12-05,25.719999,25.920000,25.469999,25.559999,25.559999,222500
2017-12-06,25.440001,25.440001,24.070000,24.580000,24.580000,518900
2017-12-07,24.580000,25.160000,24.549999,25.120001,25.120001,246100
2017-12-08,25.120001,25.240000,24.930000,25.040001,25.040001,156600
2017-12-11,25.049999,25.129999,24.690001,24.850000,24.850000,327000
2017-12-12,24.920000,25.110001,24.780001,24.790001,24.790001,342900
2017-12-13,24.660000,24.809999,24.559999,24.709999,24.709999,312600
2017-12-14,24.620001,25.170000,24.580000,25.030001,25.030001,372000
2017-12-15,25.049999,25.360001,24.820000,24.940001,24.940001,529600
2017-12-18,25.020000,25.510000,24.920000,25.480000,25.480000,130500
2017-12-19,25.559999,25.750000,25.440001,25.480000,25.480000,156500
2017-12-20,25.540001,25.540001,25.020000,25.309999,25.309999,138700
2017-12-21,25.309999,25.309999,24.920000,25.020000,25.020000,122200
2017-12-22,25.000000,25.110001,24.620001,24.760000,24.760000,169800
2017-12-27,24.709999,25.139999,24.660000,25.059999,25.059999,111800
2017-12-28,25.049999,25.049999,24.760000,24.889999,24.889999,156500
2017-12-29,24.920000,24.920000,24.500000,24.780001,24.780001,202700
2018-01-02,24.750000,25.639999,24.510000,25.590000,25.590000,183600
2018-01-03,25.639999,25.820000,25.320000,25.639999,25.639999,153300
2018-01-04,25.639999,26.150000,25.639999,25.850000,25.850000,160900
2018-01-05,25.850000,26.170000,25.700001,26.070000,26.070000,249900
2018-01-08,26.090000,26.389999,26.020000,26.250000,26.250000,161400
2018-01-09,26.340000,26.600000,26.320000,26.379999,26.379999,124100
2018-01-10,26.299999,26.400000,25.889999,26.010000,26.010000,258400
2018-01-11,25.990000,25.990000,25.570000,25.760000,25.760000,365700
2018-01-12,26.500000,27.559999,26.500000,27.190001,27.190001,849500
2018-01-15,27.150000,27.500000,26.930000,27.090000,27.090000,153800
2018-01-16,27.170000,27.320000,26.570000,26.900000,26.900000,540600
2018-01-17,27.000000,27.570000,26.980000,27.379999,27.379999,446600
2018-01-18,27.350000,27.680000,27.350000,27.580000,27.580000,172700
2018-01-19,27.600000,28.360001,27.600000,28.340000,28.340000,320100
2018-01-22,28.379999,28.379999,27.850000,28.200001,28.200001,279500
2018-01-23,28.129999,28.440001,27.600000,28.350000,28.350000,194200
2018-01-24,28.420000,28.719999,28.320000,28.430000,28.430000,191700
2018-01-25,28.520000,28.709999,28.180000,28.299999,28.299999,161300
2018-01-26,28.370001,29.070000,28.340000,29.010000,29.010000,375300
2018-01-29,29.010000,29.520000,28.990000,29.420000,29.420000,226400
2018-01-30,28.980000,29.170000,28.500000,28.830000,28.830000,247700
2018-01-31,28.900000,29.219999,28.590000,28.850000,28.850000,428000
