Date,Open,High,Low,Close,Adj Close,Volume
2014-11-03,0.510000,0.510000,0.490000,0.510000,0.510000,71700
2014-11-04,0.490000,0.490000,0.470000,0.470000,0.470000,66500
2014-11-05,0.460000,0.470000,0.450000,0.470000,0.470000,53500
2014-11-06,0.480000,0.490000,0.460000,0.490000,0.490000,96300
2014-11-07,0.500000,0.500000,0.480000,0.490000,0.490000,45100
2014-11-10,0.480000,0.480000,0.470000,0.480000,0.480000,61100
2014-11-11,0.480000,0.500000,0.480000,0.500000,0.500000,18900
2014-11-12,0.500000,0.500000,0.490000,0.490000,0.490000,22200
2014-11-13,0.500000,0.500000,0.480000,0.480000,0.480000,31900
2014-11-14,0.500000,0.500000,0.490000,0.500000,0.500000,45900
2014-11-17,0.490000,0.510000,0.490000,0.510000,0.510000,57600
2014-11-18,0.510000,0.550000,0.510000,0.540000,0.540000,61200
2014-11-19,0.540000,0.540000,0.490000,0.500000,0.500000,147800
2014-11-20,0.520000,0.570000,0.520000,0.570000,0.570000,77100
2014-11-21,0.530000,0.540000,0.520000,0.520000,0.520000,252700
2014-11-24,0.540000,0.540000,0.520000,0.520000,0.520000,26400
2014-11-25,0.530000,0.550000,0.530000,0.540000,0.540000,43900
2014-11-26,0.530000,0.550000,0.520000,0.550000,0.550000,39400
2014-11-27,0.550000,0.570000,0.510000,0.510000,0.510000,32900
2014-11-28,0.510000,0.520000,0.500000,0.500000,0.500000,114800
2014-12-01,0.510000,0.550000,0.510000,0.550000,0.550000,22500
2014-12-02,0.520000,0.550000,0.480000,0.480000,0.480000,208700
2014-12-03,0.480000,0.490000,0.480000,0.490000,0.490000,103000
2014-12-04,0.490000,0.500000,0.490000,0.490000,0.490000,35300
2014-12-05,0.490000,0.500000,0.480000,0.500000,0.500000,28500
2014-12-08,0.480000,0.490000,0.460000,0.480000,0.480000,81800
2014-12-09,0.490000,0.500000,0.470000,0.470000,0.470000,74300
2014-12-10,0.480000,0.480000,0.470000,0.480000,0.480000,44400
2014-12-11,0.470000,0.470000,0.450000,0.450000,0.450000,70200
2014-12-12,0.460000,0.460000,0.450000,0.450000,0.450000,133200
2014-12-15,0.460000,0.470000,0.450000,0.460000,0.460000,120500
2014-12-16,0.480000,0.480000,0.450000,0.450000,0.450000,277400
2014-12-17,0.450000,0.470000,0.450000,0.470000,0.470000,132600
2014-12-18,0.470000,0.480000,0.450000,0.470000,0.470000,79800
2014-12-19,0.470000,0.470000,0.450000,0.450000,0.450000,161200
2014-12-22,0.460000,0.460000,0.450000,0.450000,0.450000,138500
2014-12-23,0.460000,0.460000,0.450000,0.460000,0.460000,923300
2014-12-24,0.470000,0.470000,0.460000,0.460000,0.460000,206400
2014-12-29,0.460000,0.470000,0.460000,0.470000,0.470000,66700
2014-12-30,0.470000,0.470000,0.460000,0.460000,0.460000,65800
2014-12-31,0.460000,0.470000,0.460000,0.470000,0.470000,66500
2015-01-02,0.470000,0.470000,0.460000,0.460000,0.460000,38000
2015-01-05,0.470000,0.470000,0.440000,0.440000,0.440000,101300
2015-01-06,0.440000,0.470000,0.430000,0.460000,0.460000,113900
2015-01-07,0.460000,0.470000,0.460000,0.460000,0.460000,56600
2015-01-08,0.460000,0.470000,0.460000,0.460000,0.460000,26500
2015-01-09,0.460000,0.490000,0.460000,0.490000,0.490000,60900
2015-01-12,0.490000,0.520000,0.480000,0.510000,0.510000,273200
2015-01-13,0.510000,0.520000,0.480000,0.490000,0.490000,69900
2015-01-14,0.500000,0.520000,0.490000,0.490000,0.490000,18700
2015-01-15,0.500000,0.520000,0.500000,0.520000,0.520000,82500
2015-01-16,0.510000,0.520000,0.500000,0.520000,0.520000,412800
2015-01-19,0.510000,0.520000,0.510000,0.510000,0.510000,48100
2015-01-20,0.510000,0.540000,0.510000,0.510000,0.510000,251300
2015-01-21,0.530000,0.600000,0.530000,0.600000,0.600000,300200
2015-01-22,0.590000,0.590000,0.530000,0.550000,0.550000,362200
2015-01-23,0.560000,0.590000,0.500000,0.550000,0.550000,212100
2015-01-26,0.540000,0.550000,0.500000,0.550000,0.550000,115200
2015-01-27,0.570000,0.570000,0.530000,0.530000,0.530000,54400
2015-01-28,0.520000,0.540000,0.520000,0.520000,0.520000,96400
2015-01-29,0.520000,0.530000,0.490000,0.520000,0.520000,85100
2015-01-30,0.520000,0.520000,0.500000,0.520000,0.520000,199700
2015-02-02,0.530000,0.530000,0.510000,0.530000,0.530000,107100
2015-02-03,0.530000,0.540000,0.520000,0.530000,0.530000,140500
2015-02-04,0.550000,0.550000,0.530000,0.550000,0.550000,88100
2015-02-05,0.540000,0.550000,0.540000,0.550000,0.550000,14400
2015-02-06,0.530000,0.530000,0.500000,0.510000,0.510000,138800
2015-02-09,0.530000,0.530000,0.500000,0.530000,0.530000,35800
2015-02-10,0.510000,0.520000,0.500000,0.500000,0.500000,152700
2015-02-11,0.510000,0.510000,0.500000,0.510000,0.510000,32800
2015-02-12,0.510000,0.540000,0.500000,0.510000,0.510000,66000
2015-02-13,0.530000,0.530000,0.500000,0.510000,0.510000,81000
2015-02-17,0.500000,0.510000,0.490000,0.500000,0.500000,79500
2015-02-18,0.500000,0.510000,0.500000,0.510000,0.510000,51800
2015-02-19,0.500000,0.520000,0.500000,0.500000,0.500000,133500
2015-02-20,0.500000,0.510000,0.500000,0.510000,0.510000,23600
2015-02-23,0.510000,0.520000,0.510000,0.510000,0.510000,14800
2015-02-24,0.510000,0.510000,0.500000,0.500000,0.500000,51700
2015-02-25,0.510000,0.510000,0.490000,0.490000,0.490000,79100
2015-02-26,0.500000,0.520000,0.490000,0.490000,0.490000,93700
2015-02-27,0.500000,0.500000,0.480000,0.500000,0.500000,45900
2015-03-02,0.490000,0.490000,0.470000,0.490000,0.490000,243300
2015-03-03,0.490000,0.490000,0.470000,0.490000,0.490000,80300
2015-03-04,0.490000,0.490000,0.470000,0.490000,0.490000,169300
2015-03-05,0.490000,0.490000,0.480000,0.490000,0.490000,86400
2015-03-06,0.480000,0.480000,0.460000,0.460000,0.460000,129700
2015-03-09,0.470000,0.470000,0.440000,0.440000,0.440000,143600
2015-03-10,0.450000,0.460000,0.450000,0.450000,0.450000,49000
2015-03-11,0.450000,0.470000,0.430000,0.440000,0.440000,87700
2015-03-12,0.460000,0.460000,0.440000,0.440000,0.440000,26100
2015-03-13,0.460000,0.460000,0.430000,0.430000,0.430000,34500
2015-03-16,0.440000,0.440000,0.420000,0.420000,0.420000,375300
2015-03-17,0.410000,0.410000,0.400000,0.400000,0.400000,87100
2015-03-18,0.400000,0.420000,0.380000,0.420000,0.420000,110000
2015-03-19,0.420000,0.430000,0.420000,0.430000,0.430000,18500
2015-03-20,0.430000,0.430000,0.410000,0.420000,0.420000,70600
2015-03-23,0.420000,0.420000,0.410000,0.410000,0.410000,26800
2015-03-24,0.410000,0.430000,0.410000,0.430000,0.430000,29000
2015-03-25,0.440000,0.440000,0.420000,0.430000,0.430000,43100
2015-03-26,0.430000,0.430000,0.420000,0.430000,0.430000,102700
2015-03-27,0.430000,0.470000,0.430000,0.450000,0.450000,218600
2015-03-30,0.450000,0.470000,0.430000,0.440000,0.440000,68100
